lane_id,sample,lane,gem_well,guide_library,cell_line,condition,replicate,replicate_type,condition_status,metadata_source
HF011A,HF011A,HF011A,A,HF011AF,unknown,HF011,A,unknown,well_id_derived_label_not_experimental_metadata,analyst; no sample sheet or experimental metadata file exists (audit F15/F16)
HF011B,HF011B,HF011B,B,HF011BF,unknown,HF011,B,unknown,well_id_derived_label_not_experimental_metadata,analyst; no sample sheet or experimental metadata file exists (audit F15/F16)
HF012A,HF012A,HF012A,A,HF012AF,unknown,HF012,A,unknown,well_id_derived_label_not_experimental_metadata,analyst; no sample sheet or experimental metadata file exists (audit F15/F16)
HF012B,HF012B,HF012B,B,HF012BF,unknown,HF012,B,unknown,well_id_derived_label_not_experimental_metadata,analyst; no sample sheet or experimental metadata file exists (audit F15/F16)
